,subject,name,review,time,location,sentiments
735,one word : WOW,nining2ningsih,"Location : Great location, equipped with Luxury Mall, MRT in downstairs and Attractions around 

Check In - Fast and Effective if you filled up Pre- Arrival Form 

Check Out - Just drop the key and check out form in the lobby check out box !...More",Reviewed 10 November 2017 ,"Semarang, Indonesia",Positive
736,Pool & view excellent,Daniel F,"My family had a wonderful day in this iconic hotel last week. Its so nice of MBS to offer us a free upgrade of room. We loved the room, pool and the views at the top of Singapore. The staff was very friendly and caring...More",Reviewed 10 November 2017 ,"Canton of Bern, Switzerland",Positive
737,Top of the world ,holmesearth01,"As soon as you enter the lobby it's like entering a different world , it's huge and oozes class . It feels even bigger than it looks , all you can see is space , it's vast but even though there are lots of people...More",Reviewed 9 November 2017 ,"Mt Martha, Australia",Neutral
738,"Expensive, but not luxurious",Pablo A,The scene from the infinity pool are definately worth it. Friendly lifeguards and pool waiters. There are even professional photographers to help you take photos ! The foods and drinks are as good as they looks like. Remember not to bring the foods and drinks...More,Reviewed 9 November 2017 ,"Buenos Aires, Argentina",Positive
739,Terrible experience! ,Kayleigh S,"This place is an absolute must, even if it is for 1 night. We were meant to be staying for 1 night but extended to 3. 

Positives:
-pool and view
-room size, cleanliness and amenities  (stayed in Deluxe King- free upgrade from twin room)
-great...More",Reviewed 9 November 2017 ,"Chelmsford, England, United Kingdom",Positive
740,A Most Satisfying Experience for Business Travellers,Ada F,"This is Las Vegas style luxury in Asia, in one of the best locations in the city. An amazing hotel, where it’s iconic shape cuts through the Singapore skyline day or night. We stayed in a Club Room that gives many extras and access to...More",Reviewed 9 November 2017 ,Hong Kong,Positive
741,Amazing,retireeLithgow,"We went there for a family holiday and booked the room facing the famous Gardens by the Bay. From the moment we arrived to the moment we left, everything went perfectly smooth. The room we stayed at was very spacious and the view was amazing....More",Reviewed 9 November 2017 ,"Lithgow, Australia",Positive
742,Absolutely the best of the best that I have stayed while in Singapore....,Plumeria898,We are stayed here for 4 nights on the way to Melbourne. We have done many stop overs over the years and this beats the lot hands down. 3 of us me wife and daughter 15. The hotel has everything and centre to everything else....More,Reviewed 9 November 2017 ,"Brandon, Florida",Positive
743,Nice View Nice Place,Bobo T,"We stayed here for two days in October of 2013.  After booking our airfare to Singapore, we had to find hotels.  We knew the MBS was out of our price range, but after seeing the infinity pool we knew we had to go!  We ended...More",Reviewed 9 November 2017 ,None,Neutral
744,Wonderful view,Whiskawaytours,"The MBS is a high end huge hotel. The rooms are spacious and well appointed. The restaurants have good food but area a bit pricey. The amenities are very nice, the signature pool, a great fitness center, a high end mall, a casino and easy...More",Reviewed 9 November 2017 ,"Newcastle, Australia",Positive
745,Amazing Marina bay Sands stay,Sue M,"This was a staycation with my wife and 2 kids 4 and 2 years old. We decided to book a Club room as the lounge at Club 55 welcome kids of all ages. That, in itself is a huge plus point for us. 
 
Our room...More",Reviewed 9 November 2017 ,"Ballarat, Australia",Positive
746,Just like heaven!,Marton M,We had a room on the 49th floor. Stunning views and the rooms are very well appointed and spacious. Huge bathrooms with separate bath and shower and great amenity kits that may or may not come home with you ;) Utterly breathtaking pool and roof...More,Reviewed 8 November 2017 ,"Brussels, Belgium",Positive
747,Stayed for the pool,abe s,"We spent one night at this fabulous hotel
en route from London to Sydney and am really pleased we made the decision to stopover. This hotel is one of the great wonders of the modern world and has the service to match. 

It’s a quick...More",Reviewed 8 November 2017 ,"San Francisco, California",Positive
748,Exceptional Hotel.....an Icon!,Edmundo_de_ABQ,"Near the beach; shopping, sightseeing, restaurants & bars nearby·Near public transit, the train station & the airport·Easily accessible by car.liked the large, clean rooms, though some said they were dated & maintenance could be improved",Reviewed 8 November 2017 ,"Albuquerque, New Mexico",Positive
749,2 day stay before we board our cruise,Mark K,"The Marina Bay Sands is definitely an excellent hotel that one must try at least once, given all the amenities that they offer. The hotel is surely luxurious, the rooms are beautiful, the infinity pool access is definitely a highlight. The area around MBS is...More",Reviewed 8 November 2017 ,None,Positive
750,Excellent!,Anssi25,"No doubt this hotel has amazing infinity pool and they charge for that only, apart from that rooms were ok basic ,view was amazing .u need a lot of effort to reach infinity pool(change elevator couple of time) , front desk staff was helpful. Stay...More",Reviewed 8 November 2017 ,None,Positive
751,Great architecture! ,Snowie_Meli,Another engineering marvel in modern Singapore. There are three towers seventy stories high with a gigantic surfboard on top. On the surfboard is an infinity pool along with a bar restaurant. There is a giant observation deck on the 69th  floor that is accessible to...More,Reviewed 8 November 2017 ,Sydney,Positive
752,Out of this world !! Wow,megandmatsmum,"The Marina bay Sands is a must stay on your visit to Singapore. This establishment is the epitome of class and comfort at its finest. They are committed to meeting your every need with ease, courtesy and style.",Reviewed 8 November 2017 ,uk,Neutral
753,Security check - room key,Ramamurthy S,"Had always wanted to stay at MBS and finally got around to it a couple of weeks ago.

It is definitely worth staying here once, if for nothing more than the infinity pool, that said it has so much more to offer.

I don't think...More",Reviewed 8 November 2017 ,None,Positive
754,"Excellent hotel, Awesome infinite pool",Francisco P,"The best part about our stay was definitely the infinity pool! It was an experience like no other, we initially booked the 1 night stay here just to have access to this world class pool. However, the room and service did not disappoint. Amazing shopping,...More",Reviewed 8 November 2017 ,None,Positive
755,Fabulous,hmcveigh,"My husband and I stayed here for 3 nights in Nov. Reading a lot of negative reviews about check in, service etc. We were pleasently suprised. Checking in went smoothly.. the room was beautiful and clean and they gave us a higher floor since it...More",Reviewed 7 November 2017 ,"Belfast, United Kingdom",Positive
756,One of a kind!,Ali E,"Stayed in hotel for 5 nights.  We had a club room which was large, beautiful and very clean..  Location of hotel was great, the subway was underneath, close to great restaurants in the Marina Bay complex and the hop on and hop off bus stop...More",Reviewed 7 November 2017 ,"Melbourne, Australia",Positive
757,Popped to the top for a cocktail,411sunny2016,"Stayed at MBS for 4 nights and my GF and I didn't really feel at home nor at ease throughout the duration of our stay.

I'm guessing that large percentage of the guest which MBS attracts are trying to get shed loads of post/picture ""LIKES""...More",Reviewed 7 November 2017 ,"London, United Kingdom",Positive
758,A-M-Z-I-N-G-!-!-!,Erez P,"I stayed at this hotel a few weeks ago. At that trip I only stayed one night. The impression was not that good. But I wanted to give it another chance, so I stayed there again last weekend. This time I am staying for two...More",Reviewed 7 November 2017 ,"Tel Aviv, Israel",Positive
759,Really not worth the money! ,Ellebee09,"Dear sincerewong2002,

Thank you for taking the time to share your valued feedback on TripAdvisor.

I regret to learn about the challenges that you encountered during your recent stay with us. Please allow me to assure you that we will continually strive to enhance the...More",Reviewed 7 November 2017 ,"Aberdeenshire, United Kingdom",Neutral
760,Exceptional service ! Excellent ambience ! Memorable experience!,mary valene s,"Booking was very easy so that’s a great start. Then VIP check in really made everything feel very special. I was an hour early but my room was ready, I was very grateful. Stunning City View from my Club Room in Tower Two on the...More",Reviewed 7 November 2017 ,"Singapore, Singapore",Positive
761, Best honeymoon ever ,LaineyColly,"Check in appalling. Took almost an hour of standing in thick queue of people. Told by reception to check in at tower 1, but later found out we could have attended tower 3 for quicker check in (as our room was allocated to tower 3)....More",Reviewed 7 November 2017 ,"Melbourne, Australia",Negative
762,Absolute Bliss,Colin H,"Located in the centre of downtown Singapour, this is a huge complex of shops, restaurants and entertainment. There is also a casino. Be aware there is a dress code. All the expensive names are there along with renowned chefs : Wolfgang Puck and Daniel Boulud....More",Reviewed 7 November 2017 ,None,Neutral
763,Never again - huge disappointment,Steve077,"This icon of Singapore is conveniently located in the Marina Bay area, which accessible via MRT, buses and taxis easily. We loved the interior of the hotel area and amazed by the glamour in Shoppes and lobby area. The lobby area is quite gigantic and...More",Reviewed 7 November 2017 ,Chicago,Positive
764,The best hotel experience I have had so far.,Chara T,"Great!  LOCATION : 
It made me feel very warmly welcomed. 
Great view. Room was very large including billiards . Club Lounge was great with wonderful food . 
one of the best five star hotels in Singapore.",Reviewed 7 November 2017 ,None,Positive
765,8th wonder,Denis R,Our booking stated that check in was 3pm but we arrived earlier at 1pm. The check in queue was already quite long and took about 20 minutes to get to the desk. This was made better though by the complimentary drinks and ice creams which...More,Reviewed 6 November 2017 ,World,Positive
766,Incredible pool and garden views ,一念哥,"good hotel near by port,have the sky walk from where you can see the view
it is a super luxury hotel known by its name,& of its swimming pool,sky walk
services are ok.give us check in at 8.00am where as timing for check in was...More",Reviewed 5 November 2017 ,"Hong Kong, China",Positive
767,Expensive Hotel in the city,iamricardoe,"Visited as a couple stayed two days could easily have stayed the week !
Our fab room was on the tenth floor facing the Marina .
Wonderful light shows at night , gorgeous clean room , a luxury bathroom to die for complete with separate...More",Reviewed 5 November 2017 ,"Singapore, Singapore",Positive
768,👍,jessicamul,Architectural Wonder - take elevator to roof for a bird's eye view of Singapore.  A beautiful but expensive hotel.,Reviewed 5 November 2017 ,"Medan, Indonesia",Positive
769,Swimming pool with its own hotel!,Tom T,"This is supposed to be a top hotel with top hygiene and top maintenance. Currently brought my family to stay in this hotel for a short break. Unfortunately, it turned out that the bathroom toilet is filled with sewerage stinky smell and upon calling the...More",Reviewed 5 November 2017 ,"Melbourne, Australia",Positive
770,The most amazing view...,gcc79,"Dear commander-Hans,

Thank you for your valued feedback. 

I regret to learn about the challenges that you encountered during your stay with us. Please allow me to assure you that it is never our intention to cause our guests unnecessary stress or inconvenience and I...More",Reviewed 5 November 2017 ,"Exmouth, United Kingdom",Negative
771,It’s all about the pool,DrFooDee,"The Marina Bay Sands is truly an amazing hotel and is defiantly a place not to be missed when visiting Singapore be it for a stay or just to marvel the facilities it has to offer, the hotel is a tourist attraction in its own...More",Reviewed 5 November 2017 ,"Melbourne, Australia",Positive
772,"Big and clean suite room, great dinning, amazing view, minor issues in service",Dania Z,"On a recent trip to Singapore, our package deal included a few nights stay at the Park Hotel Farrer Park (a very nice hotel) and a one night stay at the Marina Bay Sands with buffet breakfast.

The Marina Bay Sands, is, of course, one...More",Reviewed 4 November 2017 ,None,Positive
773,The Most Awesome Stay In Singapore,Benny_Lagarense,"Dear ReviewChimp,

Thank you for taking the time to detail your positive stay experience at Marina Bay Sands.

I am delighted to read that you enjoyed your stay with us, especially enjoying your time spent at the Sands SkyPark infinity pool, your breakfast at Rise...More",Reviewed 4 November 2017 ,Indonesia,Positive
774,Marina Bay Sands !,Rashed M,"It was like being in a crowded park starting from the lobby to the lifts and up to the Skypark, especially at the Skypark! For what we paid for a 14th-floor room with a view of the casino's roof, we could have enjoyed a stay...More",Reviewed 4 November 2017 ,None,Positive
775,Organised burglary theft of valuables by staff,AMK2,"Dear MichaelCebu,

Thank you for your valuable feedback. 

I regret to learn about the challenges that you encountered during your stay with us. Please rest assured that your feedback is important to us, and that I have shared your comments regarding your stay experience with...More",Reviewed 4 November 2017 ,None,Positive
776,Fabulous views,Tina R,"Last year 2016, we were given 1 night staying by one of our friend because he couldn't make it, so first of all it's a blessing staycation since we're staying in Singapore and we think that we don't feel necessary to stay at this hotel...More",Reviewed 4 November 2017 ,"Lowestoft, United Kingdom",Positive
777,The most amazing hotel we've ever stayed in!,spazzzmic,"The best hotel in Singapore.
The best infinity pool in the world.
Top rooms in Singapore.
To repeat again and again.
Excellent service , since you arrive till you check-out.
Beds and rooms also confortables!!!
Dont loose the oportunity ;)",Reviewed 4 November 2017 ,benicassim,Positive
778,Family Trip,NattyAesthetics,"I only stayed here one night and wished I had stayed longer there is so much to do a few downers were how expensive the mini bar was, I mean 9 dollars for sprite? The view from our room was incredible, this is an amazing...More",Reviewed 4 November 2017 ,Macau,Neutral
779,Luxury without class,Dick Z,"First and foremost, the hotel itself is spectacular from both inside and out. When you approach the hotel whether by car or from the garden/bay area. 

There was a massive queue at check in but a member of staff took me to the 'VIP' area...More",Reviewed 4 November 2017 ,"Bangkok, Thailand",Positive
780,Convenient but soulless.....,Steven J,We stopped off in Singapore on the way out to Australia and did all the tourist bit while we were there. Visiting the Marina Bay Sands for the site seeing gallery and the shopping was well worth it. We also did a great walk all...More,Reviewed 4 November 2017 ,"London, United Kingdom",Positive
781,Lively hotel with great views ,Keslyne,"One of the best hotels in Singapore with a great view of Singapore skylines.
Spacious and comfortable and nice deco. 
Hotels offers you 5-10 restaurant experience you never had.
Best places to experience food and drinks for your tastes buds.
One of the best pool...More",Reviewed 4 November 2017 ,None,Positive
782,Rooftop pool has the best view of Singapore!,king r,"Marina Sands Singapore had been hailed and raved in almost every travel related publication and fora etc. Due to this my business partners and I finally decided to give it a go although it was in the busy holiday season of August!

First impression of...More",Reviewed 3 November 2017 ,California,Neutral
783,Nice Pool but everything else way to chaotic and bad organized!,dianisgtz,"Dear Philip C,

Thank you for your valuable feedback. 

I am disheartened to learn about the challenges that you and your business partners encountered during your stay with us. Please allow me to assure you that it is never our intention to cause our guests...More",Reviewed 3 November 2017 ,"Salzburg, Austria",Neutral
784,Mbs,225phil,"Stayed here for 3D2N was trully great experience. Major attraction of this hotel is the infinity pool, which has a very very amazing view of Singapore. Try come to this pool just before sunset, you will find a gorgeous city view with touch of beautiful...More",Reviewed 3 November 2017 ,"Perth, Australia",Positive
785,Stop over on the way home,Murray G,"Quick 40hr stopover. Pool is fun. Room was great. Electric curtains. Great bed. Tv wasnt great. Bathroom great size
 Bath great but no crystals or bubble bath. Didnt leave the complex. Great choices for food or shopping",Reviewed 3 November 2017 ,None,Positive
786,A dream!,plpeneva,"Title says it all. Everywhere surrounding is crazy expensive and the best feature is the pool (which is no where near as breath taking as the photos portray). Overall, it’s a ‘bucket list’ destination for some but is not an exceptional experience.More",Reviewed 3 November 2017 ,"Sofia, Bulgaria",Positive
787,A Glorious Madhouse,Peter W,"Dear Jessica R,

Thank you for your review.

I am glad to read that you enjoyed your overall stay and your time spent at the Sands SkyPark infinity pool. Please rest assured that your feedback is important to us, and that we will continue striving...More",Reviewed 3 November 2017 ,None,Positive
788,Good but not really for families,Reed S,"WOW! Just - WOW. MBS certainly lives up to the hype (but make sure you bring along your credit card as prices are BIG). Cracking views (that you have to pay for to access), glorious food (that is ridiculously overpriced), but it's really just another...More",Reviewed 3 November 2017 ,"Abu Dhabi, United Arab Emirates",Positive
789,Definitely Best Place ,Stephanie_1293,"We stayed in the Marina Bay Sands hotel for 3 nights at the end of our honeymoon. It was absolutely worth staying at MBS to experience the amazing infinity pool on the 57th floor, as well as great views of the gardens from our room....More",Reviewed 3 November 2017 ,"Singapore, Singapore",Positive
790,One night only,sonmonfinca,"The hotel itself is fantastic! So much stuff to do here it's an attraction in itself! Extremely popular so there was a bit of a line to check in, but they offered free juice and waters and it went by quickly. We had a classic...More",Reviewed 3 November 2017 ,maloorca,Positive
791,An experience,Shannan-Landolt,I was dreaming about the Marina Bay Sands since many years and finally the opportunity to go to Singapore came last April. We stayed at Marina Bay Sands 3 nights and I found it very touristy and commercial.  Cleaning of the room ok. Amenities in...More,Reviewed 2 November 2017 ,"Lucerne, Switzerland",Positive
792,Mandatory hotel to see.,Pio X,"We paid for a Club room and very luckily were upgraded to the Sands Suite which was amazing.
It’s worth getting a club room as you then have access to “Club 55” which serves complimentary cream tea with drinks between 2-4 daily. Then they later...More",Reviewed 2 November 2017 ,Switzerland,Positive
793,Hotel TV ~CCTV 4 Channel ,Josephine C,"Everything about staying at this hotel is Big and Impressive. The lobby, the rooms, the pool, the gym, the view. If you're looking for anything personalised or homely this may not be the place to look. Staff are very focused on their piece of the...More",Reviewed 2 November 2017 ,None,Positive
794,Expensive and expansive pool,Flying88_phoenix,"Dear Wayne502012,

Thank you for taking the time to share your valued feedback. 

Though I am happy to read that you enjoyed your appointed accommodation and your time spent at the Sands SkyPark infinity pool, I am disappointed to learn that our Team Members' service...More",Reviewed 2 November 2017 ,"Beijing, China",Positive
795,Mixed feelings,Vinniejk2010,"If you’re reading this trying to work out whether to book the MBS as part of your trip - just press the button and book! 

What a place. 

This is such a beautiful hotel and what you pay for isn’t the room, it’s the experience....More",Reviewed 1 November 2017 ,"London, United Kingdom",Positive
796,"Nice to do once, but style over substance, your paying for the pool.",HolidayFreakxx,"Everything was perfect. You could not find one fault with this hotel, even if you tried. The service the staff deliver is just incredible. Everyone you speak to who represents that hotel is beyond helpful, funny and polite. 

Check in was smooth, and our room...More",Reviewed 1 November 2017 ,"Belfast, United Kingdom",Positive
797,Even Singaporean go there for a cool weekend,changfreddy,From before we even reached the hotel reception area the staff were amazing...going out of their way to make sure we knew where to check in for our club suite (The Lounge...hidden behind Tower 1 check in desk) The room was wonderful...large with a wall...More,Reviewed 1 November 2017 ,"Singapore, Singapore",Neutral
798,Loved it here,FarahKazi,"I have to say, it totally worth for that money ! It’s experience in a lifetime to spend day there. Beautiful hotel rooms, kind hotel staff. We didn’t find any problem !! We came at hotel around 8am, somebody told us to ask for earlier...More",Reviewed 1 November 2017 ,None,Positive
799,Nice vieuw,JohanVdH,Booked this hotel for a night as a surprise to my partner and she wasn't disappointed. We have stayed in Singapore several times in the last few years and have only previously visited the Skydeck on level 57. As we had had a touch year...More,Reviewed 1 November 2017 ,"Ghent, Belgium",Negative
800,Amazing views,Mac D,"this is a bucketlist experience, we had our last night in Singapore here before flying home. It was fabulous! We were upgraded to the 54th floor Orchid Suite and staff were lovely. While we waited for our room to be ready we wandered around the...More",Reviewed 1 November 2017 ,"Apex, North Carolina",Positive
801,Beautiful property but Management is HORRIBLE and its pricey!,surayyah01,"Lovely hotel, super friendly staff. Stayed here for 7 day’s to celebrate a milestone of turning 60 & loved everything about it. Our room was overlooking Gardens by the Bay. Gorgeous view of the gardens & ocean. Had breakfast at Rise one of the many...More",Reviewed 31 October 2017 ,"Philadelphia, Pennsylvania",Positive
802,One of my favorite places on the world,Thismorningiwokeupin,"Had the pleasure of staying here for two nights in the way to Oz. Booked club class room with access to the club lounge for breakfast, afternoon tea and cocktails and canapés all included. All excellent. The staff were welcoming and nothing was too much...More",Reviewed 31 October 2017 ,None,Positive
803,Pleasantly surprised,Rhex S,Its one of the best hotel of Singapore. Excellent for business. fancies and get-togethers.  I have seen that even local Singaporeans come and stay here for a change  .  Only 15-20 Minutes from the airport.,Reviewed 31 October 2017 ,None,Positive
804,Worth it!,Andrea F,"A promise fulfilled to stay at the Marina Bay Sands Hotel when last we were in Singapore. It did not disappoint! From the rooftop Spago restaurant and infinity pool to the Rise restaurant on the ground floor, the experience was delightful.
Wonderful staff at Reception,...More",Reviewed 31 October 2017 ,None,Positive
805,Excellent !,Richard H,"Well worth paying for a Club room;  this gives entry to Club 55.       Club 55 provides free breakfast, evening drinks and canapés.      
Roof pool and gardens are wonderful.
The ground floor where reception is located is a little austere, with no-where to sit while waiting...More",Reviewed 31 October 2017 ,Hong Kong,Positive
806,Cream of the crop!!,BettyPanagiota,"Worth every pennies. Fantastic view, clean and modern room.
Ah, the pool was amazing. Very nice staff.
We stayed there for one night. We had a sky view/ city view room on 54th floor. The view was spectacular. 
One of a kind experience.",Reviewed 31 October 2017 ,Melbourne Australia,Positive
807,Nice hotel but very expensive!,Norwayma,"Room was spacious, modern and clean. Very impressed with the size of the shower. Good selection of toiletries and nice options for the mini-bar (if a little expensive). Bed very comfortable.

Good balcony (small but functional), we choose the side of the building overlooking the...More",Reviewed 30 October 2017 ,Norway,Positive
808,Awesome experience,JaniJermans,"Dear sheree c,

Thank you for your positive review.

I am pleased to learn that you enjoyed your stay at Marina Bay Sands, especially enjoying your garden view room and your time spent at the Sands SkyPark infinity pool.

I certainly look forward to welcoming...More",Reviewed 30 October 2017 ,"Bengaluru, India",Positive
809,Best Infinity Pool Ever,Leon F,"This has to be a 'Must Do Before I Die' hotels experiences.

With 3 towers, this hotel is run with absolute precision. Although the prices are high and breakfast isn't complimentary I strongly recommend you stay for at least a night and enjoy the infinity...More",Reviewed 30 October 2017 ,None,Positive
810,Excellent trip and  a great time,Christina B,"Dear Bruno M,

Thank you for your kind review and recommendation.

I am delighted to read that you enjoyed your stay at Marina Bay Sands, particularly enjoying your time spent at the Sands SkyPark infinity pool.

I certainly look forward to welcoming you back in...More",Reviewed 30 October 2017 ,"Duesseldorf, Germany",Positive
811,Wow,drcaipi75,"The stay is great and the room is nicely prepared with a small and welcoming gesture in the room. 

The beds are nicely prepared, room is clean, spacious, and the bathroom is really huge. The check in and check out counters may takes time but...More",Reviewed 30 October 2017 ,"Bad Kissingen, Germany",Positive
812,"Expensive, but worth every penny!",59clm,"Dear Allistair R,

Thank you for your kind review.

I am glad to note that you enjoyed your stay with us and that our Team Members consistently provided you with excellent service which helped to enhance the enjoyment of your stay.

I certainly look forward...More",Reviewed 29 October 2017 ,"Diss, United Kingdom",Positive
813,5* all around,Carly S,"i guess anyone who visits singapore has to stay at least one night in this hotel! what a place and what an experience. Totally recommend, even if it's for only one night. The infinity pool is just unique!More",Reviewed 29 October 2017 ,None,Negative
814,Nice High Retreat,David M,"Thank you for your kind recommendation, ZbanGee. 

I am pleased to learn that you thoroughly enjoyed your stay at Marina Bay Sands, particularly enjoying your time spent at the Sands SkyPark infinity pool.

I certainly look forward to welcoming you back to our one-stop destination...More",Reviewed 29 October 2017 ,"Perth, Australia",Positive
815,only after staying you can tell the difference,Rasesh B,"This is a lovely clean hotel. Very large and very busy! I asked for a different pillow and it was delivered within a few minutes. Staff were friendly and helpful, breakfast buffet had a good variety of options. My one gripe is no power point...More",Reviewed 29 October 2017 ,"Mumbai, India",Positive
816,Lacks attention to detail ,Belindatp,"Dear Chrisl54,

Thank you for sharing your review on TripAdvisor.

I am glad to note that you enjoyed your overall stay at Marina Bay Sands, especially enjoying your breakfast on property. I am also happy to read that our Team Members' service standards consistently exceeded...More",Reviewed 28 October 2017 ,"Sydney, Australia",Positive
817,One night is plenty,youngsterdave76,"I stayed for 4 nights whilst travelling on business around Asia and had a very good trip. The staff are fantastic, always available, willing and able to help, unfailingly polite and highly skilled. Even when asking for directions (the complex is huge) or serving you...More",Reviewed 28 October 2017 ,Derby,Positive
818,Magnificent,Nikhil J,"Dear Parrotfish,

Thank you for taking the time to share your kind review.

I am pleased to read that you enjoyed your stay at Marina Bay Sands, particularly enjoying your appointed accommodation, your dining experiences on property, as well as your time spent at the...More",Reviewed 28 October 2017 ,None,Positive
819,Great pool!,JuicyFox,"My friend and I had the luxury of staying in MBS for 1 night and it was magical. It was everything we hoped for and more! First off, when we arrived, we were escorted to the VIP check in desk (though we just booked a...More",Reviewed 28 October 2017 ,"Sydney, Australia",Positive
820,Only one thing was good - comfortable bed,Yulianna T,"Dear missy_xw,

Thank you for your delightful review and for the privilege of hosting you on this special occasion. 

I am happy to learn that you and your friends enjoyed your stay at Marina Bay Sands, particularly enjoying your upgraded accommodation, your dining experiences on...More",Reviewed 27 October 2017 ,None,Positive
821,One night once in a lifetime,938mirap,We decided to stay at marina bay for 1 night and the stay was worth every penny of it. As soon you enter the hotel you can soak into the luxury the hotel has to offer. We were directed to the check in counter and...More,Reviewed 27 October 2017 ,"Southern Finland, Finland",Positive
822,Beautiful,eleanor s,"The scale and grandeur of the hotel, the unique Skypark, magnificent views and setting make this a must for a visit to Singapore if you can. The staff are also universally charming and helpful, provided you do not ask them anything out of the norm....More",Reviewed 27 October 2017 ,None,Positive
823,Once in a lifetime,Leighites,"We booked an escape package for two nights of our five night stay in Singapore. Upon arrival for an extra S$200 per night we upgraded to a club room.

The room and views were spectacular and we needed some light refreshment after our long flight....More",Reviewed 27 October 2017 ,"Leigh-on Sea, United Kingdom",Positive
824,Pay for the view & Pool,immaize,"As we all know MBS is famous of the world-best roof top pool with great city view.
I picked the room facing the ocean instead of the city; the view is perfect too. Do look forward to go again and next time I will pick...More",Reviewed 27 October 2017 ,"Singapore, Singapore",Positive
825,$500 for a selfie?,Sally M,We spent part of our honeymoon in this beautiful hotel! We upgraded and it was worth it. Friendly and helpful staff. Obviously incredible views! Loved it! Highly recommend this hotel if staying in Singapore.,Reviewed 26 October 2017 ,"North Yorkshire, United Kingdom",Positive
826,Amazing view ! ,108mariola,"Our stay here was very enjoyable with a luxurious room and balcony overlooking Gardens by the Bay. Day or Night, the view was absolutely spectacular, with breathtaking views of the cityscape from the poolside which can be accessed on the top floor. Entry to 'The...More",Reviewed 26 October 2017 ,"London, United Kingdom",Positive
827,Pool deck needs maintaining ,Angie B,"The most fantastic place sky tower went up 56 floors what a view there's restaurants eateries up there souvenirs stunning views worth it to go up you get pictures taken pretty or costly $60 
But we bought them as so nice  all around Marinabay is...More",Reviewed 26 October 2017 ,None,Positive
828,VERY NICE,LivingDreamsJoyfully,"We checked in promptly after joining the check in queue but then realised there were about 7 receptionist checking people in, so it took minutes. The porter had already tagged our bags and they were sent straight to room after we checked in. As we...More",Reviewed 26 October 2017 ,"Temple, Texas",Positive
829,Heaven is for real,James Carl T,"Obviously the iconic pool is the reason to stay at the hotel and the views from here are fantastic, however it is a tourist trap. Hundreds of people all taking selfies in the pool constantly somewhat ruin the luxury.

A hotel that is very, very...More",Reviewed 26 October 2017 ,Philippines,Positive
830,Not what I was expecting for customer service ,alexandercB6535RK,"Dear Dave F,

Thank you for your valuable feedback. 

I am disheartened to learn that your stay with us was not a complete success. Please allow me to assure you that we continually strive to enhance the quality of our offerings and service touch points...More",Reviewed 26 October 2017 ,"Miami, Florida",Positive
831,Wow,kodySydney,"We stayed for 1 day on the way back to Sydney. We arrived early at 9am and our room was available which was very helpful.

Firstly the views are fantastic we were on the 37th floor looking at the city.
Floor to ceiling glass windows...More",Reviewed 26 October 2017 ,sydney,Positive
832,Great Place to Relax,Aiyaka K,when we arrived on site we skipped the BIG queue and went to the sands lounge we then checked in and arrived at our room.The room was very posh and had picturesque views. the pool was completely unbelievably spectacular! it had breathtaking views from your...More,Reviewed 25 October 2017 ,None,Positive
833,World class hotel,mssntt,"I have a very good experiences with MBS. MBS have a very best services team work. I really appreciated that. I met Kate at the Front Office, Joel and Jamal who take good care my luggage, and also Shing Yi whos make up my room....More",Reviewed 25 October 2017 ,None,Positive
834,IT HAS TO BE DONE !!!!!!!!!!!!!!!!!!!!!,Threadersmal,"My wife and I stayed here in a Club room for 2 nights when returning to Europe from Australia. Everything about this hotel is on a global scale with separate check in areas at each end of the hotel and over 2500 rooms.

Our room...More",Reviewed 25 October 2017 ,Sydney,Neutral
835,fabulous,HarrisTung,"This place is one of the best sights in Singapore and has one of the best city views in the world. For that reason, it's worth the $500+ you pay to stay there. It's owned by a Las Vegas based casino chain and it shows-...More",Reviewed 25 October 2017 ,None,Positive
836,Fantastic ,4inbi,"We was in the same place before 2 years now we back this year everything the same amazing place food and drinks . relaxing and enjoying your time we will be back for sure think you all you did a good job ,,🇪🇬",Reviewed 25 October 2017 ,"Burlington, Canada",Positive
837,5 Nights Free Stay. Not Bad.,PigBoy3000,"I wanted to visit after seeing it on TV documentary and it is a WOW . Had a beautiful room, shopping experience is something else if you love designer shops and the rooftop pool made my stay it was a BIG wow the views day...More",Reviewed 24 October 2017 ,"Earth City, Missouri",Positive
838,Excellent,ThaiTraveller2015,"The hotel is quite luxurious (always a bonus after hostel stays) but the winner is, of course, the rooftop infinity pool. I didn't want to pay the money to stay but I'm happy I did. Just do it-you won't regret it at all. Added bonus:...More",Reviewed 24 October 2017 ,"Melbourne, Australia",Positive
839,All for the experience ,Rachel C,What an amazing hotel.The infinity pool on the top floor was awesome and the view was breathtaking.our room was on the 32nd floor and the floor to ceiling windows gave us a great view of the city skyline and the light shows in the evening.We...More,Reviewed 24 October 2017 ,"London, United Kingdom",Positive
840,Wonderful view of the city from the Infinity Pool,Luis Fernando I,"Always had a great stay here, been here on many business trips and always impressed. Great for a cocktail on the rooftop and the casino at your door step. Staff are amazing and help in anyway. Facilities next to none book now. Part of the...More",Reviewed 23 October 2017 ,"Buenos Aires, Argentina",Positive
